City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,23.47,76,73,7.72,PN,1733352172
1,albany,42.6001,-73.9662,0.81,63,100,2.68,US,1733351714
2,lihue,21.9789,-159.3672,26.52,85,75,2.06,US,1733352174
3,vadso,70.0744,29.7487,-2.91,74,0,5.66,NO,1733352175
4,crane,31.3974,-102.3501,18.97,46,38,2.04,US,1733352176
5,kashgar,39.4547,75.9797,-2.44,63,20,3.0,CN,1733351939
6,kodiak,57.79,-152.4072,4.73,87,100,4.63,US,1733352178
7,bethel,41.3712,-73.414,3.83,65,100,2.06,US,1733351991
8,afaahiti,-17.75,-149.2833,25.68,78,96,5.3,PF,1733352181
9,utrik,11.2278,169.8474,27.78,81,95,10.92,MH,1733352182
10,richards bay,-28.783,32.0377,22.44,93,48,1.03,ZA,1733352183
11,seward,40.907,-97.0989,8.38,60,8,8.05,US,1733352184
12,ushuaia,-54.8,-68.3,3.07,95,100,3.22,AR,1733352167
13,bredasdorp,-34.5322,20.0403,17.29,75,41,3.64,ZA,1733352186
14,ust-nera,64.5667,143.2,-22.37,100,95,1.24,RU,1733352187
15,mandalgovi,45.7625,106.2708,-9.09,58,77,5.02,MN,1733352188
16,ca mau,9.1769,105.15,23.53,97,100,1.23,VN,1733352014
17,east london,-33.0153,27.9116,20.21,87,47,5.74,ZA,1733352190
18,puerto natales,-51.7236,-72.4875,10.25,46,75,9.77,CL,1733352191
19,tsiombe,-25.3,45.4833,23.45,86,9,1.79,MG,1733352193
20,villa union,23.2,-106.2333,26.98,61,100,3.09,MX,1733352194
21,lompoc,34.6391,-120.4579,16.62,76,0,3.09,US,1733352195
22,new norfolk,-42.7826,147.0587,21.07,47,100,1.19,AU,1733352196
23,jinxiang,27.4327,120.6062,14.53,84,99,3.48,CN,1733352197
24,estacion santa engracia,24.0159,-99.2015,28.37,45,2,2.79,MX,1733352198
25,papatowai,-46.5619,169.4708,16.31,51,1,12.25,NZ,1733352199
26,izyaslav,50.1195,26.8213,-0.55,88,100,2.16,UA,1733352201
27,port-aux-francais,-49.35,70.2167,4.95,96,100,13.35,TF,1733352202
28,grytviken,-54.2811,-36.5092,0.42,78,100,2.07,GS,1733352203
29,hermanus,-34.4187,19.2345,17.67,85,29,5.5,ZA,1733352204
30,thompson,55.7435,-97.8558,-17.91,85,100,5.66,CA,1733352205
31,waitangi,-43.9535,-176.5597,14.63,95,98,11.92,NZ,1733352207
32,vila velha,-20.3297,-40.2925,25.97,87,0,5.14,BR,1733352208
33,hadibu,12.65,54.0333,24.96,78,66,5.17,YE,1733352209
34,sumbe,-11.2061,13.8437,25.14,88,99,2.37,AO,1733352210
35,longyearbyen,78.2186,15.6401,-11.09,73,20,3.6,SJ,1733352211
36,ilulissat,69.2167,-51.1,-10.99,73,100,2.57,GL,1733352212
37,puerto ayora,-0.7393,-90.3518,23.08,91,60,2.68,EC,1733352213
38,bilibino,68.0546,166.4372,-22.11,99,37,1.87,RU,1733352214
39,edinburgh of the seven seas,-37.0676,-12.3116,15.65,88,100,13.19,SH,1733352215
40,jijel,36.8205,5.7667,15.97,67,40,9.26,DZ,1733352216
41,constantia,44.1833,28.65,1.38,90,100,7.05,RO,1733352217
42,itoman,26.1247,127.6694,19.01,66,40,5.14,JP,1733352218
43,kone,-21.0595,164.8658,32.7,43,77,0.96,NC,1733352219
44,nueva gerona,21.8833,-82.8,22.85,57,68,7.48,CU,1733352220
45,malvan,16.0667,73.4667,25.54,83,67,2.39,IN,1733352221
46,aasiaat,68.7098,-52.8699,-12.88,97,100,2.54,GL,1733352223
47,invercargill,-46.4,168.35,15.57,66,0,8.49,NZ,1733352224
48,port mathurin,-19.6833,63.4167,24.28,74,19,7.99,MU,1733352225
49,west island,-12.1568,96.8225,25.99,94,100,5.66,CC,1733352226
50,buala,-8.145,159.5921,30.2,68,99,4.26,SB,1733352227
51,iqaluit,63.7506,-68.5145,-14.15,77,75,2.57,CA,1733352228
52,khorinsk,52.1657,109.7726,-20.98,98,74,0.7,RU,1733352229
53,okha,53.5739,142.9478,-16.67,96,100,6.51,RU,1733352230
54,portland,45.5234,-122.6762,9.2,62,0,6.17,US,1733351908
55,touba,8.2833,-7.6833,23.01,36,60,0.39,CI,1733352232
56,hawaiian paradise park,19.5933,-154.9731,28.82,64,0,6.69,US,1733352233
57,tiksi,71.6872,128.8694,-22.32,93,98,3.24,RU,1733352235
58,alaghsas,17.0187,8.0168,19.18,18,18,4.67,NE,1733352236
59,olonkinbyen,70.9221,-8.7187,-0.66,85,100,4.36,SJ,1733352237
60,happy valley-goose bay,53.3168,-60.3315,-12.83,72,20,3.09,CA,1733352238
61,havsa,41.549,26.8221,6.05,88,56,2.19,TR,1733352240
62,saudarkrokur,65.7461,-19.6394,-1.23,85,100,3.86,IS,1733352241
63,wailua homesteads,22.0669,-159.378,26.18,82,75,2.06,US,1733352242
64,mejit,10.2753,170.8646,27.8,82,90,10.76,MH,1733352243
65,tura,25.5198,90.2201,14.4,79,0,1.29,IN,1733352244
66,palu,-0.8917,119.8707,25.09,98,100,0.47,ID,1733352245
67,port lincoln,-34.7333,135.8667,24.52,43,36,1.41,AU,1733352246
68,cockburn town,21.4612,-71.1419,24.89,74,100,12.16,TC,1733352190
69,hamilton,39.1834,-84.5333,8.69,50,75,7.72,US,1733352035
70,taoudenni,22.6783,-3.9836,20.68,21,100,6.42,ML,1733352249
71,cidreira,-30.1811,-50.2056,20.3,73,4,7.26,BR,1733352250
72,tubarjal,30.4999,38.216,11.55,50,44,2.47,SA,1733352251
73,iskateley,67.6803,53.1512,-6.79,89,65,3.77,RU,1733352252
74,namibe,-15.1961,12.1522,21.87,82,94,1.13,AO,1733352253
75,maintirano,-18.0667,44.0167,26.18,73,40,1.62,MG,1733352255
76,yaren,-0.5472,166.916,27.87,78,7,7.79,NR,1733352256
77,remire-montjoly,4.9167,-52.2667,27.02,78,100,1.54,GF,1733351971
78,dagomys,43.6703,39.6689,9.97,53,100,1.9,RU,1733352258
79,toyota,35.0833,137.15,10.31,62,35,1.93,JP,1733352259
80,korla,41.7597,86.1469,-1.8,67,8,2.37,CN,1733352260
81,khandyga,62.6667,135.6,-27.02,99,100,0.44,RU,1733352261
82,yellowknife,62.456,-114.3525,-16.71,85,100,8.23,CA,1733351993
83,tancacha,-32.2431,-63.9807,23.77,38,0,4.65,AR,1733352263
84,macheng,31.1783,115.0319,6.45,89,93,2.3,CN,1733352264
85,sinan,34.8262,126.1086,8.84,55,99,9.62,KR,1733352265
86,port moresby,-9.4431,147.1797,28.98,73,99,1.42,PG,1733352266
87,pisco,-13.7,-76.2167,23.03,68,0,10.29,PE,1733352267
88,tolanaro,-25.0319,46.9987,23.28,94,35,3.53,MG,1733352268
89,saint-philippe,-21.3585,55.7679,24.15,82,44,6.12,RE,1733352269
90,kapuskasing,49.4169,-82.4331,-5.0,93,100,4.12,CA,1733352270
91,el granada,37.5027,-122.4694,19.32,62,0,2.57,US,1733352271
92,saipan,15.1355,145.701,29.39,74,0,5.36,MP,1733352273
93,freetown,8.484,-13.2299,27.84,74,75,5.14,SL,1733352274
94,qaqortoq,60.7167,-46.0333,-13.44,75,18,3.14,GL,1733352275
95,alofi,-19.0595,-169.9187,27.94,78,75,8.23,NU,1733352276
96,anadyr,64.75,177.4833,-20.72,77,20,4.0,RU,1733352277
97,udachny,66.4167,112.4,-25.0,98,84,4.52,RU,1733352278
98,aspen,39.1911,-106.8175,2.69,44,0,2.57,US,1733352133
99,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,93,100,2.0,RU,1733352280
100,coahuayana de hidalgo,18.7,-103.6583,28.84,63,68,2.14,MX,1733352282
101,livingstone,-17.8419,25.8543,25.31,22,61,1.6,ZM,1733352283
102,hasaki,35.7333,140.8333,13.41,75,100,6.03,JP,1733352284
103,bonthe,7.5264,-12.505,26.93,80,98,2.17,SL,1733352285
104,narasapur,16.45,81.6667,23.99,90,99,2.65,IN,1733352286
105,ta`u,-14.2336,-169.5144,27.76,77,95,4.3,AS,1733352288
106,ishigaki,24.3448,124.1572,22.07,73,75,7.2,JP,1733352289
107,watertown,42.3709,-71.1828,2.97,53,100,5.66,US,1733352014
108,tazovsky,67.4667,78.7,-4.83,97,100,2.44,RU,1733352291
109,blackmans bay,-43.0167,147.3167,20.41,67,100,0.45,AU,1733352292
110,ribeira grande,38.5167,-28.7,19.87,88,46,4.92,PT,1733352293
111,waingapu,-9.6567,120.2641,25.69,88,100,0.95,ID,1733352294
112,avarua,-21.2078,-159.775,26.03,73,40,5.14,CK,1733352295
113,charters towers,-20.1,146.2667,27.08,64,86,5.67,AU,1733352296
114,bull savanna,17.8868,-77.5902,24.3,79,61,8.07,JM,1733352297
115,banda aceh,5.5577,95.3222,24.81,88,100,1.07,ID,1733352298
116,partapur,23.6,74.1667,18.86,42,15,3.27,IN,1733352299
117,santo domingo,18.5001,-69.9886,27.8,83,75,2.68,DO,1733352194
118,lavinio,41.5011,12.5804,9.96,79,95,0.47,IT,1733352301
119,neya,58.2972,43.8681,-5.27,89,64,3.61,RU,1733352302
120,kerikeri,-35.2268,173.9474,25.51,35,0,1.26,NZ,1733352303
121,nemuro,43.3236,145.575,2.43,57,0,4.93,JP,1733352305
122,moranbah,-22.0016,148.0466,28.65,57,26,6.56,AU,1733352306
123,guerrero negro,27.9769,-114.0611,18.3,63,1,7.57,MX,1733352307
124,monrovia,6.3005,-10.7969,26.43,82,38,2.4,LR,1733352308
125,aykhal,66.0,111.5,-22.66,96,99,6.72,RU,1733352309
126,merizo village,13.2658,144.6691,29.43,82,86,7.1,GU,1733352310
127,antonio enes,-16.2325,39.9086,25.58,81,26,3.65,MZ,1733352311
128,shimoda,34.6667,138.95,11.44,69,66,6.12,JP,1733352312
