City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-13.15,71,75,1.03,CA,1733439933
1,ulladulla,-35.35,150.4667,24.8,77,73,2.25,AU,1733439934
2,rizokarpaso,35.6,34.375,17.3,59,20,7.58,CY,1733439935
3,savannakhet,16.566,104.751,18.18,91,14,1.98,LA,1733439936
4,chonchi,-42.6128,-73.8092,11.18,87,92,3.13,CL,1733439683
5,wewak,-3.5534,143.6268,27.73,83,96,2.53,PG,1733439939
6,lebu,-37.6167,-73.65,14.09,71,10,3.22,CL,1733439940
7,port-aux-francais,-49.35,70.2167,2.77,96,84,25.09,TF,1733439941
8,ubaitaba,-14.3125,-39.3233,20.64,98,2,0.48,BR,1733439942
9,yellowknife,62.456,-114.3525,-14.21,96,75,5.66,CA,1733439943
10,acapulco de juarez,16.8634,-99.8901,28.9,74,0,4.12,MX,1733439944
11,tiksi,71.6872,128.8694,-25.47,97,58,3.48,RU,1733439945
12,sovet,38.0467,69.5882,3.01,43,0,4.54,TJ,1733439947
13,palikir - national government center,6.9248,158.1611,30.47,74,100,7.72,FM,1733439948
14,edinburgh of the seven seas,-37.0676,-12.3116,14.94,79,4,11.53,SH,1733439949
15,matoury,4.8483,-52.3317,26.98,78,100,3.09,GF,1733439950
16,ascension,30.2169,-90.9001,15.6,77,100,4.92,US,1733439952
17,sandnessjoen,66.0217,12.6316,-0.73,74,100,11.58,NO,1733439839
18,kolyshley,52.7005,44.5367,-10.53,94,23,3.16,RU,1733439954
19,fale old settlement,-9.3852,-171.2468,28.47,68,1,3.69,TK,1733439955
20,kupang,-10.1667,123.5833,28.32,94,75,1.54,ID,1733439956
21,grytviken,-54.2811,-36.5092,-0.02,75,100,3.49,GS,1733439957
22,kodiak,57.79,-152.4072,0.73,100,100,3.6,US,1733439958
23,morondava,-20.2833,44.2833,25.5,82,32,1.73,MG,1733439666
24,ola,59.5833,151.2833,-5.83,82,100,6.63,RU,1733439960
25,codrington,-38.2667,141.9667,19.95,67,100,3.29,AU,1733439964
26,puerto ayora,-0.7393,-90.3518,23.08,95,70,1.79,EC,1733439966
27,adamstown,-25.066,-130.1015,23.37,75,100,5.88,PN,1733439967
28,gobabis,-22.45,18.9667,24.35,17,35,2.89,NA,1733439968
29,yanam,16.7333,82.2167,23.29,87,31,1.29,IN,1733439969
30,san juan de miraflores,-12.1629,-76.9635,19.29,86,78,3.55,PE,1733439970
31,chiautla de tapia,18.2833,-98.6,29.36,22,1,0.82,MX,1733439971
32,kailua-kona,19.6406,-155.9956,29.6,64,0,4.63,US,1733439972
33,bilibino,68.0546,166.4372,-22.44,99,9,2.1,RU,1733439973
34,challakere,14.3167,76.65,22.2,87,0,2.28,IN,1733439974
35,sakaiminato,35.55,133.2333,10.99,58,75,5.66,JP,1733439975
36,kristinestad,62.2743,21.376,0.16,89,100,6.72,FI,1733439976
37,puerto natales,-51.7236,-72.4875,11.25,40,75,5.14,CL,1733439978
38,riverdale,33.5726,-84.4133,7.8,40,10,5.54,US,1733439712
39,anadyr,64.75,177.4833,-22.72,76,58,3.58,RU,1733439980
40,blackmans bay,-43.0167,147.3167,20.41,75,52,0.89,AU,1733439981
