City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,igarka,67.4667,86.5833,-13.0,89,100,6.68,RU,1733447052
1,qamdo,31.1667,97.2333,-4.68,52,0,0.84,CN,1733447053
2,port saint john's,-31.6229,29.5448,20.76,89,100,2.91,ZA,1733447054
3,creel,27.75,-107.6333,5.12,42,1,2.59,MX,1733447055
4,rikaze,29.25,88.8833,-2.03,25,0,0.5,CN,1733447056
5,anadyr,64.75,177.4833,-22.72,77,63,4.0,RU,1733446911
6,port mathurin,-19.6833,63.4167,24.49,76,56,9.55,MU,1733447058
7,solleftea,63.1667,17.2667,-5.08,93,100,2.28,SE,1733447059
8,albany,42.6001,-73.9662,0.32,66,10,4.47,US,1733446851
9,derbent,42.0678,48.2899,9.06,70,100,1.73,RU,1733447061
10,waitangi,-43.9535,-176.5597,13.79,85,42,4.92,NZ,1733446819
11,codrington,-38.2667,141.9667,20.22,66,100,1.55,AU,1733447064
12,alotau,-10.3069,150.4462,31.22,65,100,2.23,PG,1733447065
13,talnakh,69.4865,88.3972,-19.24,97,100,2.85,RU,1733446835
14,st. john's,47.5649,-52.7093,4.32,76,75,9.77,CA,1733446993
15,kalmunai,7.4167,81.8167,24.88,88,100,3.48,LK,1733446823
16,blackmans bay,-43.0167,147.3167,19.74,75,100,0.45,AU,1733446813
17,isafjordur,66.0755,-23.124,-3.92,93,100,4.79,IS,1733446903
18,grytviken,-54.2811,-36.5092,-0.32,72,100,4.33,GS,1733446780
19,kapuskasing,49.4169,-82.4331,-9.95,79,100,7.2,CA,1733447072
20,polyarnyy,69.1989,33.4478,-4.48,83,100,7.43,RU,1733446806
21,lebu,-37.6167,-73.65,11.6,84,1,1.36,CL,1733446799
22,marsa alam,25.0757,34.8918,18.13,58,100,1.29,EG,1733447075
23,tolanaro,-25.0319,46.9987,25.04,83,0,6.17,MG,1733447076
24,port augusta,-32.5,137.7667,25.28,61,100,4.19,AU,1733446959
25,adamstown,-25.066,-130.1015,23.26,77,100,6.83,PN,1733446789
26,avarua,-21.2078,-159.775,27.03,74,75,4.63,CK,1733446889
27,ola,59.5833,151.2833,-5.16,84,100,6.71,RU,1733447081
28,port-aux-francais,-49.35,70.2167,3.07,84,100,24.55,TF,1733446800
29,puerto natales,-51.7236,-72.4875,5.17,71,17,0.57,CL,1733446773
30,severo-yeniseyskiy,60.3725,93.0408,-8.62,90,100,5.63,RU,1733447084
31,altai,46.3722,96.2583,-14.35,86,9,0.88,MN,1733447085
32,garbahaarrey,3.3289,42.2209,23.99,51,16,2.95,SO,1733447086
33,udachny,66.4167,112.4,-13.16,90,100,3.72,RU,1733446805
